Participant,Technique,TechniquePreview,TechniqueInteractionSpace,TechniquePreviewSpace,InteractionMetaphor,TaskBlock,Trial,SearchTime,RetrieveTime,DepositTime,TotalTime,ErrorCount
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,1,30.654799999999994,17.542400000000015,0.24729999999999563,54.400300000000016,1
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,2,63.7277,2.5892000000000053,6.223000000000013,75.11319999999998,2
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,3,26.97810000000004,1.7255999999999858,2.590599999999995,33.89550000000003,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,4,4.969699999999989,1.4384999999999764,4.00630000000001,13.1404,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,5,4.191499999999962,1.696300000000008,3.2175000000000296,11.357499999999959,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,6,6.181600000000003,3.748700000000042,3.824799999999982,15.883100000000013,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,7,3.7606999999999857,1.8064000000000533,1.8128999999999564,10.120499999999993,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,8,6.947600000000023,1.879000000000019,3.592399999999998,14.700000000000045,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,9,5.289999999999964,2.9367000000000303,3.036399999999958,13.836500000000001,1
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,10,4.245599999999968,1.7245000000000346,1.6462999999999965,10.259599999999978,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,11,8.211999999999989,1.3385000000000105,2.2697000000000003,14.601200000000006,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,12,8.380899999999997,3.38839999999999,2.445100000000025,16.662699999999973,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,13,5.554900000000032,1.2316999999999894,2.3886999999999716,12.027100000000019,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,14,4.816700000000026,2.2227999999999497,1.9257000000000062,12.318899999999985,0
9,WIM_Palette_HeadHand,WIM,HeadHand,Hand,Palette_Head,0,15,4.149100000000033,1.9114999999999327,4.936900000000037,13.822299999999984,0
9,WIM_Palette_Hand,WIM,Bimanual,Hand,Palette_Hand,1,1,12.626899999999978,1.6449999999999818,3.0611999999999853,19.543199999999956,0
9,WIM_Palette_Hand,WIM,Bimanual,Hand,Palette_Hand,1,2,3.6902999999999793,2.2584000000000515,1.862799999999993,9.940000000000055,0
9,WIM_Palette_Hand,WIM,Bimanual,Hand,Palette_Hand,1,3,6.501800000000003,1.6468999999999596,1.4577000000000453,11.789899999999989,0
9,WIM_Palette_Hand,WIM,Bimanual,Hand,Palette_Hand,1,4,4.455699999999979,1.7030999999999494,7.346200000000067,15.827599999999961,0
9,WIM_Palette_Hand,WIM,Bimanual,Hand,Palette_Hand,1,5,5.76419999999996,1.6470000000000482,6.456000000000017,16.606300000000033,0
